NOM_SCIENTIFIQUE;NOM_LATIN
Acalypha pulchrespicata Däniker, 1932;Acalypha pulchrespicata
Acalypha raivavensis F.Br., 1935;Acalypha raivavensis
Acalypha rapensis F.Br., 1935;Acalypha rapensis
Acalypha richardiana Baill., 1861;Acalypha richardiana
Acalypha urophylla Boivin ex Baill., 1861;Acalypha urophylla
Acalypha virginica L., 1753 [nom. et typ. cons.];Acalypha virginica
Acalypha wilkesiana Müll.Arg., 1866;Acalypha wilkesiana
Acalypheae Dumort., 1829;Acalypheae Dumort
Acalyphinae Griseb., 1859;Acalyphinae Griseb
Acalyphoideae Beilschm., 1833;Acalyphoideae Beilschm
Acampe Lindl., 1853;Acampe Lindl
Acampe pachyglossa Rchb.f., 1881;Acampe pachyglossa
Acanthaceae Juss., 1789 [nom. cons.];Acanthaceae Juss
Acantheae Dumort., 1829;Acantheae Dumort
Acanthephippium Blume ex Endl., 1837;Acanthephippium Blume
Acanthephippium vitiense L.O.Williams, 1941;Acanthephippium vitiense
Acanthinae Nees, 1832;Acanthinae Nees
Acanthocereus Britton & Rose, 1909;Acanthocereus Britton
Acanthocereus tetragonus (L.) Hummelinck, 1938;Acanthocereus tetragonus
Acanthococcus antarcticus J.D.Hooker & Harvey, 1845;Acanthococcus antarcticus
Acanthococcus J.D.Hooker & Harvey, 1845;Acanthococcus J
Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt;Acanthocoleus aberrans
Acanthocoleus madagascariensis (Steph.) Kruijt, 1988;Acanthocoleus madagascariensis
Acanthocoleus R.M.Schust., 1971;Acanthocoleus R
Acanthoideae Eaton, 1836;Acanthoideae Eaton
Acanthophippium Blume, 1825;Acanthophippium Blume
Acanthophippium splendidum J.J.Sm.;Acanthophippium splendidum
Acanthophoenix crinita (Bory) H.Wendl., 1867;Acanthophoenix crinita
Acanthophoenix H.Wendl., 1867;Acanthophoenix H
Acanthophoenix rousselii N.Ludw., 2006;Acanthophoenix rousselii
Acanthophoenix rubra (Bory) H.Wendl., 1867;Acanthophoenix rubra
Acanthophora J.V.Lamour., 1813;Acanthophora J
Acanthophora muscoides (L.) Bory, 1828;Acanthophora muscoides
Acanthophora nayadiformis (Delile) Papenf., 1968;Acanthophora nayadiformis
Acanthophora pacifica (Setch.) Kraft, 1979;Acanthophora pacifica
Acanthophora spicifera (M.Vahl) Børgesen, 1910;Acanthophora spicifera
Acanthoprasium (Benth.) Spach, 1840;Acanthoprasium (Benth
Acanthoprasium frutescens (L.) Spenn., 1843;Acanthoprasium frutescens
Acanthorrhynchium M.Fleisch., 1919;Acanthorrhynchium M
Acanthorrhynchium microcarpum (Thér.) Broth., 1925;Acanthorrhynchium microcarpum
Acanthorrhynchium papillatum (Harv.) M.Fleisch., 1923;Acanthorrhynchium papillatum
Acanthospermum australe (Loefl.) Kuntze, 1891;Acanthospermum australe
Acanthospermum glabratum (DC.) Wild, 1967;Acanthospermum glabratum
Acanthospermum hispidum DC., 1836;Acanthospermum hispidum
Acanthospermum humile (Sw.) DC., 1836;Acanthospermum humile
Acanthospermum Schrank, 1819;Acanthospermum Schrank
Acanthosphaera Lemmerm., 1899;Acanthosphaera Lemmerm
Acanthosphaera zachariasii Lemmerm., 1899;Acanthosphaera zachariasii
Acanthus arboreus Forssk., 1775;Acanthus arboreus
Acanthus hungaricus (Borbás) Baen., 1896;Acanthus hungaricus
Acanthus ilicifolius L., 1753;Acanthus ilicifolius
Acanthus L., 1753;Acanthus L
Acanthus mollis L., 1753;Acanthus mollis
Acanthus spinosus L., 1753;Acanthus spinosus
Acaulon casasianum Brugués & H.A.Crum;Acaulon casasianum
Acaulon fontiquerianum Casas & Sérgio, 1990;Acaulon fontiquerianum
Acaulon mediterraneum Limpr., 1885;Acaulon mediterraneum
Acaulon Müll.Hal., 1847;Acaulon Müll
Acaulon muticum (Hedw.) Müll.Hal., 1847;Acaulon muticum
Acaulon triquetrum (Spruce) Müll.Hal., 1847;Acaulon triquetrum
Acca O.Berg, 1856;Acca O
Acca sellowiana (O.Berg) Burret, 1941;Acca sellowiana
Acer campestre L., 1753;Acer campestre
Acer cappadocicum Gled., 1785;Acer cappadocicum
Acer cappadocicum subsp. cappadocicum Gled., 1785;Acer cappadocicum
Acer davidii Franch., 1885;Acer davidii
Acer japonicum Thunb., 1784;Acer japonicum
Acer L., 1753;Acer L
Acer mono Maxim., 1856;Acer mono
Acer monspessulanum L., 1753;Acer monspessulanum
Acer negundo L., 1753;Acer negundo
Acer negundo subsp. negundo L., 1753;Acer negundo
Acer opalus Mill., 1768;Acer opalus
Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams, 1924;Acer opalus
Acer opalus subsp. opalus Mill., 1768;Acer opalus
Acer palmatum Thunb., 1784;Acer palmatum
Acer pictum Thunb., 1784;Acer pictum
Acer platanoides L., 1753;Acer platanoides
Acer pseudoplatanus L., 1753;Acer pseudoplatanus
Acer rubrum L., 1753;Acer rubrum
Acer rufinerve Siebold & Zucc., 1845;Acer rufinerve
Acer saccharinum L., 1753;Acer saccharinum
Acer spicatum Lam., 1786;Acer spicatum
Acer tataricum L., 1753;Acer tataricum
Acer tataricum subsp. ginnala (Maxim.) Wesm., 1890;Acer tataricum
Acer tataricum subsp. tataricum L., 1753;Acer tataricum
Acer x bornmuelleri Borbás, 1891;Acer x
Acer x coriaceum Bosc ex Tausch, 1829;Acer x
Acer x guyotii Beauverd, 1920;Acer x
Acer x hybridum Spach, 1834;Acer x
Acer x peronae Schwer., 1901;Acer x
Acer x ramosum Schwer., 1894;Acer x
Acer x rotundilobum Schwer., 1894;Acer x
Acer x sabaudum Chabert, 1915;Acer x
Acer x zoeschense Pax, 1886;Acer x
Acereae Dumort., 1827;Acereae Dumort
Acetabularia acetabulum (L.) P.C.Silva, 1952;Acetabularia acetabulum
Acetabularia calyculus J.V.Lamour., 1824;Acetabularia calyculus
Acetabularia crenulata J.V.Lamour., 1816;Acetabularia crenulata
Acetabularia dentata Solms-Laubach, 1895;Acetabularia dentata
Acetabularia J.V. Lamour., 1812;Acetabularia J
Acetabularia kilneri J.Agardh, 1887;Acetabularia kilneri
Acetabularia major G.Martens, 1866;Acetabularia major
Acetabularia peniculus (R.Brown ex Turner) Solms-Laubach, 1895;Acetabularia peniculus
Acetabularia schenckii K.Möbius, 1889;Acetabularia schenckii
Achariaceae Harms, 1897;Achariaceae Harms
Acharieae Benth. & Hook.f., 1867;Acharieae Benth
Achillea ageratum L., 1753;Achillea ageratum
Achillea aspleniifolia Vent., 1803;Achillea aspleniifolia
Achillea atrata L., 1753;Achillea atrata
Achillea chamaemelifolia Pourr., 1788;Achillea chamaemelifolia
Achillea coarctata Poir., 1810;Achillea coarctata
Achillea collina (Becker ex Wirtg.) Heimerl, 1883;Achillea collina
Achillea crithmifolia Waldst. & Kit., 1802;Achillea crithmifolia
Achillea distans subsp. distans Waldst. & Kit. ex Willd., 1803;Achillea distans
Achillea distans subsp. stricta (Schleich. ex W.D.J.Koch) Janch., 1941;Achillea distans
Achillea distans subsp. tanacetifolia (All.) Janch., 1942;Achillea distans
Achillea distans Waldst. & Kit. ex Willd., 1803;Achillea distans
Achillea erba-rotta All., 1773;Achillea erba-rotta
Achillea erba-rotta subsp. ambigua (Heimerl) I.Richardson, 1976;Achillea erba-rotta
Achillea erba-rotta subsp. erba-rotta All., 1773;Achillea erba-rotta
Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909;Achillea erba-rotta
Achillea filipendulina Lam., 1783;Achillea filipendulina
Achillea L., 1753;Achillea L
Achillea ligustica All., 1773;Achillea ligustica
Achillea macrophylla L., 1753;Achillea macrophylla
Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005;Achillea maritima
Achillea millefolium L., 1753;Achillea millefolium
Achillea nana L., 1753;Achillea nana
Achillea nobilis L., 1753;Achillea nobilis
Achillea nobilis subsp. nobilis L., 1753;Achillea nobilis
Achillea odorata L., 1759;Achillea odorata
Achillea pannonica Scheele, 1845 [nom. cons.];Achillea pannonica
Achillea pratensis Saukel & R.Länger, 1992;Achillea pratensis
Achillea ptarmica L., 1753;Achillea ptarmica
Achillea ptarmica subsp. ptarmica L., 1753;Achillea ptarmica
Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.) Heimerl, 1884;Achillea ptarmica
Achillea punctata Ten. ex Fenzl, 1860;Achillea punctata
Achillea roseo-alba Ehrend., 1959;Achillea roseo-alba
Achillea setacea Waldst. & Kit., 1802;Achillea setacea
Achillea tomentosa L., 1753;Achillea tomentosa
Achillea virescens (Fenzl) Heimerl, 1884;Achillea virescens
Achillea x bronchalensis Mateo, Fabado & C.Torres, 2008;Achillea x
Achillea x commutata Heimerl, 1884;Achillea x
Achillea x feliciana Brügger, 1880;Achillea x
Achillea x intermedia Schleich. ex Reichenb., 1831;Achillea x
Achillea x laggeri Sch.Bip., 1856;Achillea x
Achillea x lereschei Sch.Bip., 1856;Achillea x
Achillea x maxima Heuff., 1858;Achillea x
Achillea x pseudodorata Rouy, 1903;Achillea x
Achillea x ruscinonensis Rouy, 1903;Achillea x
Achillea x schneideri Rouy, 1903;Achillea x
Achillea x schroeteri Wolf, 1890;Achillea x
Achillea x thomasiana Haller f. ex Murith, 1810;Achillea x
Achillea x trautmannii Heimerl, 1880;Achillea x
Achillea x valesiaca Suter, 1807;Achillea x
Achillea x wilczekiana Vacc., 1904;Achillea x
Achilleanthus glabrescens (Schltr.) J.G.Chavez, Liede & Meve, 2021;Achilleanthus glabrescens
Achilleanthus hypolasius (Baill.) J.G.Chavez, 2021;Achilleanthus hypolasius
Achilleanthus J.G.Chavez, 2021;Achilleanthus J
Achilleanthus ngoyensis (Schltr.) J.G.Chavez, 2021;Achilleanthus ngoyensis
Achimenes erecta (Lam.) H.P.Fuchs, 1963;Achimenes erecta
Achimenes grandiflora (Schiede) DC., 1839;Achimenes grandiflora
Achimenes longiflora DC., 1839;Achimenes longiflora
Achimenes Pers., 1806;Achimenes Pers
Achlydosa glandulosa (Schltr.) M.A.Clem. & D.L.Jones, 2002;Achlydosa glandulosa
Achlydosa M.A.Clem. & D.L. Jones, 2002;Achlydosa M
Achnatherum bromoides (L.) P.Beauv., 1812;Achnatherum bromoides
Achnatherum calamagrostis (L.) P.Beauv., 1812;Achnatherum calamagrostis
Achnatherum P.Beauv., 1812;Achnatherum P
Achrouteria durifructa W.A.Rodrigues, 1974;Achrouteria durifructa
Achrouteria eximia (Ducke) Swenson, 2023;Achrouteria eximia
Achrouteria Eyma, 1936;Achrouteria Eyma
Achrouteria pomifera Eyma, 1936;Achrouteria pomifera
Achyrantheae Fenzl, 1837;Achyrantheae Fenzl
Achyranthes aspera L., 1753;Achyranthes aspera
Achyranthes L., 1753 [nom. cons.];Achyranthes L
Achyranthes mangarevica Suess., 1936;Achyranthes mangarevica
Achyranthes marchionica F.Br., 1935;Achyranthes marchionica
Achyranthes talbotii Hutch. & Dalziel, 1927;Achyranthes talbotii
Achyranthoideae Raf., 1837;Achyranthoideae Raf
Acianthera angustifolia (Lindl.) Luer, 2007;Acianthera angustifolia
Acianthera auriculata (Lindl.) Pridgeon & M.W.Chase, 2001;Acianthera auriculata
Acianthera barthelemyi (Luer) Karremans, 2016;Acianthera barthelemyi
Acianthera ciliata (Knowles & Westc.) F.Barros & L.R.S.Guim., 2010;Acianthera ciliata
Acianthera erinacea (Rchb.f.) A.Doucette, 2016;Acianthera erinacea
Acianthera floribunda (Lindl.) F.Barros, 2002;Acianthera floribunda
Acianthera fockei (Lindl.) Pridgeon & M.W.Chase, 2001;Acianthera fockei
Acianthera garciae (Luer) Pridgeon & M.W.Chase, 2001;Acianthera garciae
Acianthera miqueliana (H.Focke) Pridgeon & M.W.Chase, 2001;Acianthera miqueliana
Acianthera pubescens (Lindl.) Pridgeon & M.W.Chase, 2001;Acianthera pubescens
Acianthera Scheidw., 1842;Acianthera Scheidw
Acianthera sect. Acianthera Scheidw., 1842;Acianthera sect
Acianthera sect. Arthrosia (Luer) Chiron & Van den Berg, 2012;Acianthera sect
Acianthera sect. Sicariae (Lindl.) Chiron & Van den Berg, 2012;Acianthera sect
Acianthera subg. Acianthera Scheidw., 1842;Acianthera subg
Acianthera subg. Kraenzlinella (Kuntze) Karremans, 2016;Acianthera subg
Acianthera subsect. Auritae Chiron & Van den Berg, 2012;Acianthera subsect
Acianthera testifolia (Sw.) Solano, 2011;Acianthera testifolia
Acianthera wilsonii (Lindl.) Pridgeon & M.W.Chase, 2001;Acianthera wilsonii
Acianthera yauaperyensis (Barb.Rodr.) Pridgeon & M.W.Chase, 2001;Acianthera yauaperyensis
Acianthinae Schltr., 1911;Acianthinae Schltr
Acianthus aegeridantennatus N.Hallé, 1977;Acianthus aegeridantennatus
Acianthus amplexicaulis (F.M.Bailey) Rolfe, 1904;Acianthus amplexicaulis
Acianthus atepalus Rchb.f., 1877;Acianthus atepalus
Acianthus bracteatus Rendle, 1921;Acianthus bracteatus
Acianthus confusus Guillaumin, 1923;Acianthus confusus
Acianthus corniculatus Rendle, 1921;Acianthus corniculatus
Acianthus cymbalariifolius F.Muell. & Kraenzl., 1894;Acianthus cymbalariifolius
Acianthus elegans Rchb.f., 1877;Acianthus elegans
Acianthus grandiflorus Schltr., 1906;Acianthus grandiflorus
Acianthus halleanus Kores, 1995;Acianthus halleanus
Acianthus heptadactylus Kraenzl., 1928;Acianthus heptadactylus
Acianthus macroglossus Schltr., 1906;Acianthus macroglossus
Acianthus oxyglossus Schltr., 1906;Acianthus oxyglossus
Acianthus R.Br., 1810;Acianthus R
Acianthus tenellus Schltr., 1906;Acianthus tenellus
Acianthus tenuilabris Schltr., 1906;Acianthus tenuilabris
Acianthus uvarius N.Hallé, 1977;Acianthus uvarius
Acianthus veillonis N.Hallé, 1977;Acianthus veillonis
Acicarpha Juss., 1803;Acicarpha Juss
Acicarpha spathulata R.Br., 1818;Acicarpha spathulata
Acicarpha tribuloides Juss., 1803;Acicarpha tribuloides
Acioa Aubl., 1775;Acioa Aubl
Acioa guianensis Aubl., 1775;Acioa guianensis
Acioa somnolens Maguire, 1951;Acioa somnolens
Aciotis acuminifolia (Mart. ex DC.) Triana, 1872;Aciotis acuminifolia
Aciotis annua (Mart. ex DC.) Triana, 1872;Aciotis annua
Aciotis circaeifolia (Bonpl.) Triana, 1872;Aciotis circaeifolia
Aciotis D.Don, 1823;Aciotis D
Aciotis indecora (Bonpl.) Triana, 1872;Aciotis indecora
Aciotis ornata (Miq.) Gleason, 1932;Aciotis ornata
Aciotis polystachya (Bonpl.) Triana, 1872;Aciotis polystachya
Aciotis purpurascens (Aubl.) Triana, 1872;Aciotis purpurascens
Aciotis rubricaulis (Mart. ex DC.) Triana, 1872;Aciotis rubricaulis
Aciotis sect. Aciotis D.Don, 1823;Aciotis sect
Aciotis sect. Spennera (Mart. ex DC.) Krasser, 1893;Aciotis sect
Aciphylla aurea W.R.B.Oliv., 1956;Aciphylla aurea
Aciphylla colensoi Hook.f., 1864;Aciphylla colensoi
Aciphylla J.R.Forst. & G.Forst., 1775;Aciphylla J
Aciphylla scott-thomsonii Cockayne & Allan, 1927;Aciphylla scott-thomsonii
Aciphylla squarrosa J.R.Forst. & G.Forst., 1775;Aciphylla squarrosa
Aciphylleae M.F.Watson & S.R.Downie, 2000;Aciphylleae M
Acis fabrei (Quézel & Girerd) Lledo, A.P.Davis & M.B.Crespo, 2004;Acis fabrei
Acis longifolia J.Gay ex M.Roem., 1847;Acis longifolia
Acis nicaeensis (Ardoino) Lledó, A.P.Davis & M.B.Crespo, 2004;Acis nicaeensis
Acis rosea (F.Martin) Sweet, 1829;Acis rosea
Acis Salisb., 1807;Acis Salisb
Acisanthera P.Browne, 1756;Acisanthera P
Acisanthera uniflora (Vahl) Gleason, 1950;Acisanthera uniflora
Acmella bellidioides (Sm.) R.K.Jansen, 1985;Acmella bellidioides
Acmella brachyglossa Cass., 1827;Acmella brachyglossa
Acmella caulirhiza Delile, 1826;Acmella caulirhiza
Acmella ciliata (Kunth) Cass., 1822;Acmella ciliata
Acmella iodiscaea (A.H.Moore) R.K.Jansen, 1985;Acmella iodiscaea
Acmella leptophylla (DC.) R.K.Jansen, 1985;Acmella leptophylla
Acmella oleracea (L.) R.K.Jansen, 1985;Acmella oleracea
Acmella oppositifolia (Lam.) R.K.Jansen, 1985;Acmella oppositifolia
Acmella paniculata (Wall. ex DC.) R.K.Jansen, 1985;Acmella paniculata
